4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4, 134, 134,
        134, 134, 134, 134, 134, 134, 134, 134, 134,  12,  12,  12,  12,  12,
         12,  12,  12,  12,  12,  12, 141, 141, 141, 141, 141, 141, 141, 141,
        141, 141, 141, 142, 142, 142, 142, 142, 142, 142, 142, 142,  14,  14,
         14,  14,  14,  14,  14,  14,  14,  14,  14,  14, 144, 144, 144, 144,
        144, 144, 144, 144, 144, 144, 144,  16,  16,  16,  16,  16,  16,  16,
         16,  16,  16,  16,  16,  19,  19,  19,  19,  19,  19,  19,  19,  19,
         19,  19,  25,  25,  25,  25,  25,  25,  25,  25,  25,  25,  25,  25,
         26,  26,  26,  26,  26,  26,  26,  26,  26,  26,  29,  29,  29,  29,
         29,  29,  29,  29,  29,  29,  31,  31,  31,  31,  31,  31,  31,  31,
         31,  31,  31,  31,  32,  32,  32,  32,  32,  32,  32,  32,  32,  38,
         38,  38,  38,  38,  38,  38,  38,  38,  38,  38,  41,  41,  41,  41,
         41,  41,  41,  41,  42,  42,  42,  42,  42,  42,  42,  42,  42,  42,
         53,  53,  53,  53,  53,  53,  53,  53,  53,  53,  58,  58,  58,  58,
         58,  58,  58,  58,  58,  58,  67,  67,  67,  67,  67,  67,  67,  67,
         67,  67,  67,  70,  70,  70,  70,  70,  70,  70,  73,  73,  73,  73,
         73,  73,  73,  73,  73,  73,  80,  80,  80,  80,  80,  80,  80,  80,
         80,  80,  80,  81,  81,  81,  81,  81,  81,  81,  81,  81,  81,  85,
         85,  85,  85,  85
