SN,WORD,loc,dur,subj_id
1,我,5,207,1
1,怀念,14,197,1
1,那些,7,190,1
1,日子,14,249,1
1,里,1,195,1
1,同事,3,186,1
1,间,12,224,1
1,建立,2,206,1
1,起来,14,191,1
1,的,11,245,1
1,深厚,5,177,1
1,而,13,213,1
1,真挚,3,240,1
1,的,1,226,1
1,友情,15,257,1
2,酒,3,261,1
2,已经,9,176,1
2,成为,5,243,1
2,国人,2,248,1
2,生活,6,241,1
2,中,1,209,1
2,不可,7,257,1
2,缺少,11,213,1
2,的,9,178,1
2,重要,9,186,1
2,内容,5,180,1
3,这些,6,189,1
3,新,5,196,1
3,品种,7,224,1
3,具有,7,240,1
3,产量,4,231,1
3,高,7,197,1
3,的,4,195,1
3,明显,2,231,1
3,优势,3,239,1
4,外贸,4,229,1
4,集团,9,247,1
4,公司,8,220,1
4,为,9,179,1
4,部队,6,210,1
4,配置,8,234,1
4,了,11,175,1
4,多功能,4,182,1
4,健身房,10,173,1
4,和,1,177,1
4,球场,2,203,1
5,它,6,192,1
5,是,10,187,1
5,所有,10,234,1
5,治疗,5,190,1
5,艾滋病,9,212,1
5,的,1,249,1
5,药物,3,237,1
5,中,9,254,1
5,药效,8,222,1
5,最,11,250,1
5,明显,3,258,1
5,的,6,208,1
6,领导,8,201,1
6,专程,8,225,1
6,到,5,218,1
6,革命,10,255,1
6,老区,10,211,1
6,慰问,6,196,1
6,贫困,9,190,1
6,教师,9,228,1
6,和,7,233,1
6,先进,10,195,1
6,教师,9,172,1
7,正在,6,235,1
7,营房,10,196,1
7,休息,8,245,1
7,的,5,235,1
7,人们,9,238,1
7,被,9,176,1
7,天崩地裂,1,255,1
7,的,3,219,1
7,响声,1,224,1
7,惊醒,9,234,1
8,一个,2,243,1
8,良好,8,228,1
8,的,6,253,1
8,候车,7,225,1
8,环境,1,192,1
8,可以,6,178,1
8,缓解,1,199,1
8,人,7,259,1
8,的,8,214,1
8,紧张,10,215,1
8,心理,1,251,1
9,降低,9,226,1
9,关税,2,224,1
9,将,11,184,1
9,对,1,240,1
9,香港,8,242,1
9,经济,11,196,1
9,产生,2,209,1
9,诸多,8,202,1
9,正面,11,198,1
9,的,2,235,1
9,影响,11,185,1
10,所有,12,236,1
10,科学,10,203,1
10,工作者,2,232,1
10,无疑,4,242,1
10,都,10,246,1
10,应该,1,204,1
10,继承,9,199,1
10,和,13,208,1
10,发扬,10,177,1
10,前辈,7,203,1
10,科学家,10,212,1
10,的,6,201,1
10,精神,9,238,1
11,玩具,3,233,1
11,可以,6,173,1
11,影响,4,258,1
11,孩子,10,247,1
11,今后,2,202,1
11,情操,3,206,1
11,和,2,242,1
